Gene,Xobs
YDR463W,0.0560423306
YDR465C,0.1262690496
YDR481C,0.0400746039
YDR484W,0.0104471059
YDR490C,0.0192459969
YDR500C,0.0093055823
YDR501W,0.1745524861
YDR506C,0.0201577816
YDR511W,0.0284364989
YDR516C,0.0215155706
YDR523C,0.0479241115
YDR534C,0.0354877105
YDR541C,0.0328104836
YEL003W,0.0045582714
YEL017W,0.2023592704
YEL021W,0.0294355465
YEL029C,0.0317192246
YEL039C,0.0078128835
YEL040W,0.0752201424
YEL044W,0.0069433522
YEL048C,0.0624922658
YEL050C,0.0993478532
YEL055C,0.0029446197
YEL058W,0.0780183273
YEL059CA,0.0137210951
YER001W,0.014532519
YER004W,0.0079535227
YER008C,0.0624922658
YER019CA,0.0091592102
YER020W,0.0017937801
YER027C,0.1892625682
YER030W,0.0549111005
YER031C,0.0096733163
YER032W,0.2191870141
YER033C,0.0186005839
YER049W,0.4656880721
YER065C,0.1504995492
YER068W,0.2188807805
YER072W,0.0864982368
YER078C,0.163747746
YER087W,0.1159423506
YER089C,0.2513425579
YER091C,0.0705179943
YER096W,0.1222270549
YER107C,0.0062704533
YER113C,0.1800197823
YER115C,0.0316356924
YER127W,0.1461452979
YER130C,4.5074500009
YER133W,4.5074500009
YER134C,0.1104842382
YER139C,0.0151505506
YER142C,0.1504995492
YER143W,0.1222270549
YER148W,0.0189738845
YER150W,0.0045582714
YER153C,0.0035422215
YER156C,0.0315611322
YER167W,0.1643914723
YER169W,0.235252679
YER171W,0.0167756507
YER173W,0.0055031686
YER174C,0.0121768865
YER184C,0.0047944153
YER190W,0.0081710493
YFL003C,0.0035422215
YFL005W,0.0061454036
YFL010C,0.0056422412
YFL018C,0.2467951162
YFL022C,0.2724846952
YFL023W,0.1385047431
YFL024C,0.002000328
YFL026W,0.0061454036
YFL029C,0.2124189382
YFL031W,0.0286212427
YFL040W,0.0409016668
YFL041W,0.3634935602
YFL047W,0.1264823231
YFL052W,0.2188807805
YFL057C,0.0058794692
YFR003C,0.015232468
YFR005C,0.0076330282
YFR009W,0.0058513663
YFR013W,1.0865718369
YFR014C,0.0025599955
YFR015C,0.0058241357
YFR021W,0.001505019
YFR026C,0.0077870263
YFR028C,0.1661790115
YFR031C,0.2287421799
YFR031CA,0.0081760316
YFR041C,0.2124189382
YFR046C,0.0006266995
YFR053C,0.0659622105
YFR057W,0.0139830311
YGL001C,0.054154081
YGL014W,0.0041084525
YGL020C,0.0687420445
YGL025C,0.4661163543
YGL026C,0.0692218714
YGL028C,0.0032027634
YGL032C,0.0076330282
YGL053W,0.0628089644
YGL061C,0.8080937311
YGL065C,0.0981279625
YGL078C,0.0323287484
YGL080W,0.2124189382
YGL092W,0.1062255289
YGL097W,0.0895777621
YGL104C,0.025418643
YGL115W,0.0141541379
YGL116W,0.0041084525
YGL122C,0.0099356602
YGL130W,0.0113914272
YGL134W,0.0006457539
YGL136C,0.1798672412
YGL137W,0.0113714962
YGL139W,0.032020902
YGL142C,0.0072563935
YGL143C,0.0871136187
YGL157W,0.6378579334
YGL163C,0.4616205241
YGL168W,0.2297662344
YGL171W,0.0328870053
YGL172W,0.0125396276
YGL174W,0.0025587113
YGL175C,0.1985355915
YGL178W,0.01130417
YGL181W,0.1299036935
YGL186C,0.0493160447
YGL191W,0.0113714962
YGL201C,0.0042591192
YGL208W,0.0058513663
YGL209W,0.0200043075
YGL212W,0.1234662574
YGL215W,0.0626195154
YGL221C,0.0036152079
YGL222C,0.0350889071
YGL238W,1.6746322628
YGL241W,0.004450322
YGL248W,0.1787964162
YGL252C,0.1759427458
YGR012W,0.0077130669
YGR013W,0.0041068254
YGR032W,0.1764801093
YGR055W,0.0041084525
YGR056W,0.9039156245
YGR062C,0.0113216725
YGR065C,0.0103239766
YGR066C,0.1447597933
YGR068C,0.0223931586
YGR080W,0.0113216725
YGR083C,0.0056139358
YGR084C,0.0339760877
YGR085C,0.0116803865
YGR087C,0.0328838395
YGR094W,0.0688179713
YGR100W,0.0102607972
YGR106C,0.0192514034
YGR111W,0.1384148097
YGR122W,0.0603323297
YGR124W,0.0088329861
YGR134W,0.004549436
YGR138C,0.0056595969
YGR149W,0.0490838584
YGR158C,0.1109128032
YGR159C,0.3742197947
YGR165W,0.0871136187
YGR170W,0.0197518088
YGR179C,0.0229167499
YGR193C,0.0039209412
YGR195W,0.0075660399
YGR197C,0.1185799121
YGR200C,0.0383804475
YGR204W,0.0065177232
YGR206W,0.0072677046
YGR208W,0.0348800252
YGR215W,0.0657532296
YGR225W,0.1639350818
YGR229C,0.0225969485
YGR232W,0.0992123875
YGR233C,0.0521441623
YGR234W,0.7238124985
YGR237C,0.7609489822
YGR238C,0.0380498175
YGR254W,0.0018584025
YGR263C,0.0072677046
YGR272C,0.0348257437
YGR273C,0.0282647086
YGR279C,0.0229600129
YGR285C,0.0727189638
YGR286C,0.0136411936
YGR296W,0.2663499289
YHL001W,0.002962925
YHL003C,0.1294291275
YHL004W,0.0054509803
YHL018W,0.1764801093
YHL021C,0.0630172065
YHL027W,0.0015371199
YHL028W,0.0369267906
YHL029C,0.0051940776
YHL032C,0.1894651371
YHL042W,0.0010875783
YHR001W,0.0128009481
YHR005C,0.0022761901
YHR006W,0.056432605
YHR014W,0.0881584124
YHR016C,0.0024900629
YHR025W,0.0042928278
YHR031C,0.0663377254
YHR043C,0.016803281
YHR045W,0.1896284349
YHR047C,0.0126160681
YHR054C,0.1148808692
YHR055C,0.0056887349
YHR057C,0.0167093426
YHR059W,0.0508722823
YHR064C,0.0288995551
YHR069C,0.0214344944
YHR072W,0.1389292219
YHR073W,0.3662292387
YHR074W,0.3025173548
YHR078W,0.0527039684
YHR088W,0.2271724214
YHR089C,0.0185511863
YHR090C,0.0110111251
YHR101C,0.0439454485
YHR122W,0.0077130669
YHR143WA,0.0067373729
YHR146W,0.0941625484
YHR148W,0.1182821
YHR159W,0.0034768841
YHR160C,0.0034768841
YHR163W,0.2236797538
YHR166C,0.0270194267
YHR169W,0.2271724214
YHR172W,0.0064979515
YHR176W,0.6384433791
YHR178W,0.0042441775
YHR182W,0.021967603
YHR185C,0.0339760877
YHR197W,0.0025016559
YHR199C,0.6676107489
YHR205W,0.0186344025
YHR206W,0.0070520572
YHR214CB,1.4977139488
YHR215W,0.5720066519
YIL003W,0.0270194267
YIL008W,0.0753643512
YIL010W,0.0363813084
YIL015W,0.0467923318
YIL016W,0.0229600129
YIL021W,0.5318962473
YIL027C,0.0518909037
YIL030C,0.0131229163
YIL031W,0.0666651045
YIL037C,0.0426118068
YIL038C,0.0074002726
YIL046W,0.0351660973
YIL062C,0.2338707142
YIL067C,0.0891633663
YIL073C,0.0017668506
YIL074C,0.15388423
YIL088C,0.3002755694
YIL090W,2.0809817612
YIL091C,0.0010875783
YIL096C,0.0013478545
YIL099W,0.0696790912
YIL109C,0.0579534795
YIL110W,0.1199306988
YIL114C,0.1084237075
YIL115C,0.0041056244
YIL116W,0.0554115664
YIL117C,0.0076351001
YIL119C,0.0452795734
YIL120W,0.0300946951
YIL124W,0.6043629808
YIL130W,0.0088171089
YIL131C,0.8450272582
YIL133C,0.0980911947
YIL142W,0.1842972688
YIL145C,0.0059194813
YIL146C,0.7238124985
YIL147C,0.0412319511
YIL148W,0.0105057735
YIL158W,0.0274703478
YIL162W,0.0162357885
YIL164C,0.0439454485
YIL169C,0.0689027497
YIR002C,0.0045668702
YIR005W,0.1193947988
YIR006C,0.0363813084
YIR009W,0.0027117511
YIR010W,0.0630570467
YIR013C,0.1479963472
YIR015W,0.1170284607
YIR024C,0.0064979515
YIR026C,0.003246347
YIR037W,0.1328920055
YJL004C,0.04282648
YJL010C,0.0694085958
YJL012C,0.0093886853
YJL023C,0.1326398542
YJL026W,0.0260265061
YJL038C,0.1182821
YJL053W,0.003246347
YJL055W,0.0037200563
YJL056C,0.006087165
YJL059W,0.0049236271
YJL063C,0.009616906
YJL069C,0.5106795443
YJL076W,0.006381816
YJL087C,0.0834039154
YJL090C,6.4505343165
YJL097W,0.0029506981
YJL099W,0.0556981915
YJL100W,0.0080311333
YJL101C,0.0057826297
YJL105W,0.1326398542
YJL108C,0.035400462
YJL125C,0.0044704612
YJL139C,0.0100451139
YJL149W,0.0068088103
YJL151C,0.0350930332
YJL155C,0.005906439
YJL167W,0.0009365372
YJL171C,0.5205743599
YJL176C,0.0527039684
YJL189W,0.0059487597
YJL190C,0.018219747
YJL201W,0.0231096969
YJR004C,0.0543995903
YJR009C,0.2664099288
YJR010CA,0.0423411458
YJR013W,0.0748676398
YJR015W,0.0258075699
YJR019C,0.0452795734
YJR025C,0.0145178026
YJR026W,0.5205743599
YJR027W,0.0127538114
YJR032W,0.2021836668
YJR040W,0.0062710302
YJR046W,0.0091626868
YJR050W,0.0097789977
YJR058C,0.7049678854
YJR062C,0.0261281978
YJR066W,0.055352202
YJR075W,0.0543995903
YJR076C,0.1348217039
YJR079W,0.15388423
YJR084W,0.0260265061
YJR085C,0.0015772628
YJR090C,0.0331532978
YJR094WA,0.0508926028
YJR098C,0.0081883592
YJR106W,0.0261281978
YJR129C,0.1340460954
YJR131W,0.0743786519
YJR132W,0.0064979515
YJR139C,0.0767560023
YJR140C,0.0891970095
YJR142W,0.0389722587
YJR145C,0.299860828
YJR149W,0.0066294434
YJR159W,0.0080995357
YJR161C,0.001078513
YKL010C,0.0013659856
YKL021C,0.0023970495
YKL022C,0.0084987716
YKL026C,0.9870822302
YKL037W,0.0331532978
YKL043W,0.0807705358
YKL046C,0.0024700323
YKL050C,0.0376623319
YKL054C,0.0414190246
YKL056C,0.0045210872
