Gene,Xobs
exoX,28.86
exuR,53.46
fabA,1755.38
fabB,1436.16
fabD,1099.52
fabF,1218.4
fabG,1645.44
fabH,562.38
fabI,3181.36
fabR,54.61
fabZ,1484.16
fadD,52.43
fadE,1.98
fadJ,1.36
fadL,532.1
fadR,140.89
fbaA,2048.97
fbp,413.85
fdhD,49.72
fdhE,154.88
fdhF,0.2
fdnG,0.12
fdoG,16.44
fdoH,16.08
fdoI,16.74
fdx,463.59
fecA,3.92
fecE,7.92
fecI,8.7
fecR,5.61
feoB,26.7
feoC,10.15
fepB,13.59
ffh,323.84
fhlA,2.55
fhuA,92.4
fhuB,5.2
fhuC,12.22
fhuD,7.79
fhuF,24.5
fieF,29.4
fimA,1097.36
fimB,32.76
fimD,1.26
fimI,3.3
fis,5588.71
fiu,10.22
fklB,787.54
fkpA,906.11
fkpB,88
fldA,1095.16
fldB,172.9
flgE,11.12
flhC,17.8
flhD,24
fliC,5.5
fliY,95.03
flk,21.76
flu,9.48
fmt,212.94
fnr,505.56
focA,33.95
folA,193.28
folB,76.86
folC,111.3
folD,332.01
folE,358.15
folK,20.88
folM,16.56
folP,87.32
folX,373.32
fpr,52
frdA,31.93
frdB,30.94
frdC,20.59
frdD,31.35
fre,194
frlR,26.4
frmA,324.12
frmB,99.75
frmR,90.72
frr,1797.47
frsA,61.44
fruA,27.28
fruB,30.82
fruK,27.75
fruR,76.38
fsr,11.33
ftnA,466.26
ftnB,25.22
ftsA,76.76
ftsB,37.44
ftsE,74
ftsH,346.68
ftsI,27.04
ftsK,38.64
ftsL,31.68
ftsN,66.5
ftsP,70.29
ftsQ,25.65
ftsW,22.26
ftsX,63.94
ftsY,158.55
ftsZ,518.76
fucR,9.52
fucU,42.64
fumA,190.35
fumC,38.38
fur,495
fusA,6486.2
fxsA,47.56
gadW,8.1
gadX,5
galE,132.82
galF,390.45
galK,23.79
galM,128.62
galP,28.34
galR,18.9
galT,25.74
galU,811.06
gapA,8156.52
gatA,97.28
gatB,66.64
gatC,101.6
gatD,48.96
gatY,426.24
gatZ,250.16
gcd,45.08
gcp,151.47
gcvA,21.84
gcvH,178.06
gcvP,30.96
gcvR,44.59
gcvT,36.96
gdhA,29.07
ghrA,42.63
ghrB,174.47
glcB,16.9
glcC,6.05
glf,236.8
glgA,12.76
glgB,9
glgC,19.89
glgP,13.68
glgX,3.6
glk,75.02
glmM,437.92
glmS,555.75
glmU,250.25
glnA,191.84
glnB,400.68
glnD,14.31
glnE,16.28
glnG,10.29
glnH,48.84
glnL,4.08
glnP,11.73
glnQ,18.88
glnS,632.4
gloA,400.68
gloB,29.83
glpD,9.9
glpE,71.4
glpG,57.77
glpK,27.95
glpQ,4.34
glpR,80.96
glpX,79.65
glrK,3.57
glrR,8.88
gltA,184.76
gltB,82.65
gltD,97.65
gltF,37.05
gltI,96.72
gltJ,12.32
gltK,13.5
gltL,51.45
gltP,162.75
gltS,28
gltX,1030.5
glyA,1061.96
glyQ,953.28
glyS,998.64
gmhB,104.58
gmk,339.98
gmr,3
gnd,2138.64
gnsA,513.36
gnsB,362.52
gntR,46.02
gntT,5.18
gntU,2.24
gntX,0.61
gor,250.2
gph,100.89
gpmA,2252.24
gpmM,455.7
gpp,22.25
gpsA,111.93
gpt,1241.6
greA,705.87
greB,33.93
groL,4010.7
groS,4540.2
grpE,1781.6
grxA,95.06
grxB,70.75
grxC,592.5
grxD,1594.68
gshA,99.54
gshB,210.8
gsiA,3.25
gsiB,5.58
gsiC,1.53
gsk,137.7
gss,85.86
gst,54.81
gtrA,54.6
gtrB,97.18
gtrS,29.7
guaA,1683.4
guaB,1940.4
guaC,218.42
gudD,8.94
gutQ,46.2
gyrA,402.55
gyrB,429.93
hcaT,8.61
hchA,25.74
hda,14.22
hdfR,22.68
hdhA,65.66
helD,18.98
hemA,17.92
hemB,278.46
hemC,86.1
hemD,10.27
hemE,163.2
hemF,16.8
hemG,66.56
hemH,36.05
hemL,355.68
hemN,66.99
hemX,78
hemY,61.1
hflC,307.1
hflD,59.28
hflK,295.48
hflX,54
hfq,2145.71
hha,224.77
hinT,297.5
hipA,10.12
hisA,67.15
hisB,128.27
hisC,105.41
hisD,110.2
hisF,76.63
hisG,219.78
hisH,87.3
hisI,180.9
hisJ,134.96
hisL,71.68
hisM,5.95
hisP,19.08
hisQ,6.82
hisS,289.52
hmp,74.25
hns,6623.86
hokB,1.12
hokD,1.64
holA,11.05
holB,16.74
holC,20.68
holD,26.72
holE,91.65
hpf,76.82
hpt,605.36
hrpA,46
hrpB,10.23
hscA,174.51
hscB,111.32
hsdM,161.5
hsdR,30.75
hsdS,42.3
hslJ,128.7
hslO,492.35
hslR,52.14
hslU,716.76
hslV,487.86
hspQ,63
hsrA,0.7
htpG,953.04
htpX,346.8
hupA,6678
hupB,5686.45
hybA,8.7
hybB,3.6
hybC,21.35
hybD,10.12
hybE,9.03
hybO,15.12
hycI,14.94
hypD,6.24
hypE,5.58
hypF,2.64
iaaA,5.67
iadA,125.67
iap,7.67
ibpA,218.24
ibpB,47.31
icd,2268.16
iclR,39.78
idnR,6.38
ihfA,856.8
ihfB,1171.2
ileS,471.8
ilvA,26.64
ilvB,92.34
ilvC,66.36
ilvD,44.62
ilvE,159.34
ilvI,8.7
ilvL,301.6
ilvN,69.08
ilvY,7.83
inaA,28.31
infA,2347.89
infB,1058.56
infC,1730.1
insG,15.3
insQ,3.63
intA,21.75
intD,1.28
intF,50.46
intR,0.8
intS,20.68
intZ,4.29
iscA,453.22
iscR,426.12
iscS,1029.2
iscU,1062.47
iscX,323
ispA,72.6
ispB,208.06
ispD,37.24
ispE,38.78
ispF,96.2
ispG,128.05
ispH,122.4
ispU,63.45
ivbL,46.56
ivy,101.92
katG,215.46
kbl,287.55
kch,9
kdgK,179.25
kdgR,172
kdpD,5.33
kdpE,9.94
kdsA,497.13
kdsB,259.38
kdsC,75.9
kdsD,57.68
kefA,56.96
kefB,2.47
kefC,4.68
kefG,5.25
kgtP,351.55
kup,31.11
lacI,20.5
lamB,7.62
ldcA,29.4
ldcC,1.25
ldhA,197.96
ldrD,0.86
lepA,455.04
lepB,99.94
leuA,25.74
leuB,50.31
leuC,59.4
leuD,80.1
leuE,24.9
leuL,136.3
leuS,621.92
lexA,212
lgt,115.92
lhr,0.42
ligA,154
ligT,7.28
lipA,918.03
lipB,75.19
livF,25.08
livG,16.43
livH,17.16
livJ,129.58
livK,64.5
livM,13.32
lldD,34.2
lldP,3.41
lldR,4.8
lnt,34.08
lolA,92.22
lolB,109.76
lolC,26.46
lolD,62.98
lolE,24.7
lon,422.3
lpcA,319.48
lpd,3448.5
lplA,37.99
lplT,7.83
lpp,91530.94
lptA,128.52
lptB,112.97
lptC,39.99
lptD,173.72
lptE,108.19
lptF,72.96
lptG,59.64
lpxA,194.6
lpxB,30.94
lpxC,450.5
lpxD,324.87
lpxH,16.92
lpxK,20.64
lpxL,71.76
lpxM,60
lpxT,59.92
lrhA,73.92
lrp,375.84
lspA,89.37
ltaE,52.2
luxS,766.08
lysA,101.64
lysC,30.66
lysP,182.28
lysR,6.27
lysS,1221.4
lysU,126.08
maa,26.01
macA,17.17
macB,7.35
maeA,102.4
maeB,93
mak,35.7
malE,51.03
malF,1.98
malP,57.66
malQ,17.28
malT,28.8
malX,4.32
malY,13.87
malZ,6.72
manA,144.9
manX,187.46
manY,207.74
manZ,202.5
map,727.16
marA,89.2
marB,20.67
marC,11.9
marR,6.6
matP,46.72
mazE,65.65
mazF,19.5
mazG,43.87
