Gene,Xobs
YLR052W,0.097453
YOL021C,0.375741
YLR036C,0.049147
YJL160C,0.043324
YBR055C,0.029096
YNL119W,0.094728
YMR015C,0.218907
YER157W,0.046986
YMR308C,1.104059
YLR215C,0.123020
YHL050C,0.032392
YDR488C,0.005694
YCL018W,0.147280
YOR106W,0.142235
YGL157W,0.533351
YER071C,0.168707
YNL156C,0.619509
YIL169C,0.016088
YBR242W,0.409875
YHR164C,0.010829
YML028W,20.114067
YDR414C,0.036021
YLR165C,0.050062
YJL187C,0.019720
YHL021C,0.151523
YOR027W,2.148127
YNR075W,0.005000
YCL064C,0.918167
YJL216C,0.002044
YDR528W,0.014436
YBR262C,0.650842
YHR099W,0.004477
YOL034W,0.030462
YMR173W,0.278210
YOR016C,0.272999
YHR053C,26.797674
YML079W,0.229018
YMR251WA,7.212857
YMR023C,0.043985
YIL024C,0.111954
YNL094W,0.044233
YBR254C,0.366856
YDL122W,0.488385
YER005W,0.123837
YDL175C,0.065631
YPL019C,0.795406
YDL114W,0.013952
YGR207C,0.215079
YPR029C,0.201996
YMR127C,0.011492
YGL026C,2.308539
YMR261C,0.268070
YFR046C,0.036946
YDL115C,0.099272
YOR258W,0.066972
YCR053W,2.128118
YDL033C,0.042034
YML078W,1.815595
YLR396C,0.072087
YGR229C,0.879329
YNL270C,0.019209
YJR014W,0.549044
YHL009C,0.039500
YGR261C,0.141287
YGL134W,0.010554
YML003W,0.013320
YBR030W,0.018407
YLR175W,2.146824
YKL113C,0.497160
YLR454W,0.083040
YGL004C,0.148862
YGR076C,0.290021
YLR281C,0.059724
YGL186C,0.781487
YMR078C,0.025071
YIR006C,0.179438
YJL174W,1.485730
YOR230W,2.534986
YDL082W,8.331879
YKR059W,7.306105
YNL027W,0.068071
YKR021W,0.051070
YBR152W,0.008482
YOR083W,0.019841
YLR329W,0.024886
YBR111C,1.445604
YML038C,0.097151
YGL155W,0.081246
YGR019W,0.355799
YDR124W,0.013814
YFR004W,1.701606
YJL219W,0.001772
YDR071C,1.324369
YDR532C,0.027909
YKL077W,1.037000
YKR044W,0.027982
YDR169C,0.046117
YJL078C,0.143053
YPL249C,0.049087
YDR096W,0.016367
YER112W,0.685439
YPL031C,0.465717
YGR082W,1.188622
YJL186W,0.489624
YMR189W,0.343805
YOL075C,0.015146
YJR153W,0.002517
YHR213W,0.016762
YJR006W,0.073171
YPR052C,1.195341
YNR047W,0.019188
YPL028W,3.963597
YPR075C,0.124163
YOL136C,0.037056
YCR028CA,1.078254
YNL245C,0.077997
YJL132W,0.007721
YOR292C,0.038706
YDR068W,0.265583
YIL048W,0.132793
YMR233W,0.153975
YKR086W,0.016731
YPL235W,1.394119
YEL022W,0.069168
YOR081C,0.051401
YDR380W,0.390418
YDR427W,0.772197
YER101C,0.036097
YFR052W,0.438149
YAL018C,0.032376
YLL003W,0.019526
YKL043W,0.071608
YMR142C,4.894853
YPR007C,0.049814
YGR077C,0.140141
YAR007C,0.297127
YHR007C,5.589031
YOR155C,0.088525
YGL100W,0.283854
YLR455W,0.025360
YPL161C,0.047092
YKL069W,0.233801
YAL031C,0.062973
YIL027C,0.420314
YLR422W,0.019354
YMR110C,0.319431
