Gene,Xobs
YDR069C,0.014749
YBR003W,0.090405
YGL089C,0.102810
YDR168W,0.457919
YKL192C,2.475889
YGL057C,0.058382
YLR421C,1.181591
YGR138C,0.094675
YOR153W,0.430470
YNL181W,0.245810
YDR100W,0.592455
YDR324C,0.388582
YJL164C,0.098032
YDR262W,0.126928
YLR113W,0.782973
YOR324C,0.015787
YPL213W,0.045372
YPR191W,0.559398
YBR288C,0.288547
YOL077C,0.886741
YLR373C,0.058286
YGL119W,0.119533
YDR334W,0.069413
YGR252W,0.111963
YDR303C,0.042982
YKL138C,0.335783
YDR200C,0.019359
YLR226W,0.076691
YKL035W,1.987234
YGL027C,0.272709
YDR385W,13.109861
YOR286W,0.992648
YDL237W,0.354343
YPL271W,1.529600
YLL056C,0.012566
YDR465C,0.834672
YBL078C,0.140760
YJR102C,0.042798
YEL059CA,0.412060
YDL131W,1.329306
YBR077C,0.135170
YLR229C,1.641384
YJR103W,0.188253
YDR127W,0.346216
YCR066W,0.027702
YMR020W,0.051997
YDR530C,0.049611
YMR292W,0.435094
YOR071C,0.036234
YPR073C,0.230142
YER054C,0.011038
YGR196C,0.029784
YNL137C,0.228580
YGR043C,0.036722
YOR249C,0.029131
YHR001WA,0.506734
YOL045W,0.016712
YGR212W,0.007001
YOL032W,0.189965
YOL069W,0.012298
YOR035C,0.021292
YFL024C,0.028310
YJL031C,0.083302
YLR167W,20.160645
YNL155W,0.092586
YKR072C,0.096995
YER080W,0.301396
YBL014C,0.034089
YJR088C,0.223624
YNL298W,0.052999
YPL203W,0.118763
YDR207C,0.044905
YGL051W,0.029977
YBL104C,0.060092
YGL095C,0.075246
YGL251C,0.013055
YBR123C,0.112075
YGR235C,0.782161
YJL173C,1.619890
YGR263C,0.189192
YLR023C,0.143598
YHL046C,0.280941
YIL173W,0.010188
YNL110C,1.263429
YKL213C,0.366619
YOR262W,0.230214
YPR169W,0.191032
YGL099W,0.465565
YNL104C,1.909297
YNL239W,0.835327
YOR245C,0.189042
YKL171W,0.003661
YOL104C,0.013547
YML012W,2.783101
YML026C,15.445409
YGR119C,0.214035
YGR120C,0.093206
YHR207C,0.162317
YBR180W,0.028647
YPR104C,0.027249
YNL086W,0.358523
YLR342W,0.674752
YLR264W,2.040170
YBR279W,0.301305
YJR121W,1.194041
YPL152W,0.037644
YDR267C,0.294070
YDR174W,1.163098
YPL105C,0.133504
YGR108W,0.091495
YNL020C,0.021555
YMR237W,0.189056
YNR072W,0.007097
YDL143W,0.898344
YBL025W,0.116605
YPL017C,0.012240
YLR001C,0.092981
YDR185C,0.011484
YGR283C,0.170109
YHR034C,0.091129
YEL026W,4.960373
YGR055W,1.199861
YKL197C,0.030126
YJL006C,0.203022
YDR291W,0.052193
YCR011C,0.297038
YKR037C,0.101647
YGR098C,0.049972
YCR021C,0.063200
YFL065C,0.045676
YNL187W,0.006998
YKR069W,0.039137
YPL201C,0.017745
YFL062W,0.953272
YDR033W,7.422159
YMR225C,0.621927
YJL039C,0.009490
YHL006C,0.038604
YPR182W,0.636272
YDR028C,0.147438
YDR507C,0.313841
YJL167W,3.107708
YHR211W,0.006318
YOR086C,0.258138
YEL021W,0.122813
YML062C,0.053031
YCL050C,1.777496
YOR244W,0.066713
YDR182W,0.420543
YMR035W,0.207957
YDR226W,7.386768
YDR288W,0.043592
YNR038W,0.275696
YIL026C,0.064847
YPL157W,0.080304
YPR179C,0.017370
YNR057C,0.051265
YCR082W,0.778377
YGL237C,0.101138
YJR130C,0.071767
YDR202C,0.063565
YHR018C,1.547250
YJR139C,2.465368
YHR020W,2.288733
YLL031C,0.330520
YLR120C,0.491121
YLR248W,0.612420
YBL005WA,0.072449
YBR191W,56.128041
YMR111C,0.123740
YBR076W,0.009762
YOR026W,0.085143
YMR305C,2.003646
YOR140W,0.020211
YOR104W,0.080671
YBR107C,0.070373
YMR104C,0.006474
YCL045C,0.412872
YMR055C,0.067269
YKL122C,1.681400
YEL031W,0.675411
YKL170W,0.583212
YDR161W,0.174864
YKL061W,0.032258
YPL098C,1.200394
YNL047C,0.062975
YBR239C,0.011355
YLR108C,0.038248
YFL013C,0.080631
YDR335W,0.176263
YBR222C,0.252233
YLR047C,0.007546
YML006C,0.128350
YDR372C,0.177355
YOL063C,0.026534
YOL164W,0.008366
YIR028W,0.035055
YDR196C,0.274403
YFR023W,0.016946
YGR091W,0.017533
YPL272C,0.006406
YHL015W,8.583432
YJL004C,0.203830
YPL118W,0.301280
YER032W,0.038850
YJR072C,1.084786
YOL138C,0.009069
YOR264W,0.077668
YKL222C,0.004789
YMR047C,0.237728
YJR097W,0.040125
YER025W,1.995785
YPL257W,0.008745
YBL068W,0.854771
YHR106W,0.229739
YIL082WA,0.013990
YDL195W,0.907464
YOR184W,1.119670
YNL212W,0.198355
YML109W,0.022766
YGR240C,2.654972
YMR213W,0.040309
YNL128W,0.011402
YNL037C,0.686400
YHR100C,0.160995
YLR443W,0.074991
YNL209W,6.920834
YKL209C,0.145725
YIL146C,0.023182
YOR337W,0.038142
YFL059W,0.063632
YDL245C,0.007929
YPL009C,0.185197
YDR204W,0.119601
YGL070C,0.638190
YGL231C,0.986954
YLR404W,0.039265
YBR047W,0.046483
YLR276C,0.394465
YGL012W,3.471367
YPL240C,1.273079
YML001W,1.087278
YML015C,0.063339
YPL256C,0.402811
YJL209W,0.073612
YKL220C,0.003233
YNL247W,0.761774
YLR312WA,0.047592
YKR045C,0.009780
YML052W,2.447814
YGL244W,0.273623
YGR153W,0.023464
YKL206C,0.182773
YBR200W,0.111888
YPR023C,0.367626
YGL093W,0.062103
YJR125C,0.390065
YOR268C,0.135657
YLR064W,0.531644
YHR079CA,0.024362
YPR176C,0.347286
YBR185C,0.179344
YFL053W,0.009764
YGR175C,2.193914
YMR149W,0.796795
YEL055C,0.220321
YDR472W,0.226492
YLR297W,0.104713
YPL013C,0.932568
YPL071C,0.056742
YFR016C,0.076919
YOR048C,0.139489
