Gene,Xobs
YER187W,0.026306
YFL002C,0.413221
YFL003C,0.01321
YFL007W,0.105998
YFL009W,0.097058
YFL011W,0.010249
YFL020C,0.214143
YFL030W,0.027104
YFL044C,0.164943
YFL049W,0.056205
YFL051C,0.037706
YFL055W,0.046321
YFL058W,0.03289
YFL061W,0.015403
YFL064C,0.032431
YFL067W,0.015267
YFR002W,0.127449
YFR005C,0.069513
YFR006W,0.745902
YFR008W,0.026902
YFR010W,0.555781
YFR012W,0.032176
YFR017C,0.041956
YFR033C,1.904048
YFR038W,0.018833
YFR039C,0.120381
YFR044C,3.333147
YGL013C,0.065413
YGL016W,0.121571
YGL017W,0.06505
YGL020C,0.772061
YGL021W,0.059586
YGL028C,0.213812
YGL029W,0.959411
YGL039W,0.23689
YGL045W,0.02993
YGL048C,1.45215
YGL055W,2.329231
YGL056C,0.158207
YGL083W,0.047485
YGL084C,0.249881
YGL091C,0.359318
YGL096W,0.027443
YGL106W,1.543546
YGL108C,0.096105
YGL111W,0.259665
YGL115W,0.409222
YGL117W,0.103825
YGL120C,0.731271
YGL124C,0.021424
YGL139W,0.14637
YGL148W,3.436601
YGL151W,0.070748
YGL154C,0.063136
YGL160W,0.069273
YGL167C,0.192014
YGL169W,0.041804
YGL176C,0.004882
YGL185C,0.098226
YGL197W,0.012474
YGL205W,0.006229
YGL215W,0.052123
YGL226W,0.152459
YGL228W,0.603568
YGL233W,0.084424
YGL235W,0.029755
YGL252C,0.288189
YGL253W,8.702526
YGL254W,0.02548
YGL258W,0.008544
YGL262W,0.016
YGR001C,0.256319
YGR002C,0.080627
YGR009C,0.225302
YGR017W,0.165166
YGR026W,0.573042
YGR048W,0.131937
YGR054W,0.550998
YGR057C,0.074956
YGR067C,0.048815
YGR070W,0.014417
YGR080W,0.227165
YGR083C,0.265862
YGR084C,0.209833
YGR094W,1.355771
YGR096W,0.030799
YGR100W,0.054128
YGR102C,0.149647
YGR104C,0.088411
YGR111W,0.084256
YGR122W,0.023344
YGR124W,2.633389
YGR127W,0.04434
YGR131W,0.075222
YGR134W,0.016934
YGR145W,0.310856
YGR152C,0.143646
YGR155W,3.717684
YGR157W,0.72114
YGR158C,0.26206
YGR163W,0.075864
YGR166W,0.04361
YGR173W,0.451334
YGR178C,0.567908
YGR183C,0.664221
YGR184C,0.055798
YGR189C,2.219786
YGR193C,0.329102
YGR198W,0.068921
YGR199W,0.354855
YGR211W,0.634391
YGR215W,0.180732
YGR218W,0.124661
YGR220C,0.449328
YGR221C,0.004365
YGR223C,0.074235
YGR248W,0.137783
YGR250C,0.111455
YGR253C,1.129808
YGR254W,10.540976
YGR256W,0.076264
YGR264C,0.922613
YGR276C,0.304104
YGR279C,5.547383
YGR281W,0.177272
YGR286C,0.158819
YGR296W,0.13414
YHL002W,0.086485
YHL010C,0.026598
YHL017W,0.202175
YHL018W,0.007288
YHL033C,8.521984
YHR012W,0.275996
YHR016C,0.118216
YHR017W,0.10582
YHR022C,0.010207
YHR024C,0.321122
YHR033W,0.054366
YHR036W,0.028084
YHR038W,0.122003
YHR039C,0.472379
YHR042W,1.004142
YHR043C,0.10488
YHR045W,0.366277
YHR060W,0.252613
YHR066W,0.181932
YHR080C,0.078842
YHR090C,0.048388
YHR091C,0.067446
YHR094C,1.59127
YHR101C,0.120202
YHR102W,0.056225
YHR104W,0.300269
YHR105W,0.017506
YHR107C,0.547955
YHR110W,0.224382
YHR124W,0.005574
YHR146W,0.5471
YHR148W,0.279729
YHR151C,0.023838
YHR152W,0.487099
YHR168W,0.034962
YHR170W,0.960342
YHR176W,0.056313
YHR181W,0.509461
YHR185C,0.041329
YHR190W,1.684811
YHR197W,0.522971
YHR205W,0.13773
YHR209W,0.039001
YHR218W,0.050263
YIL002C,0.033893
YIL004C,0.250824
YIL010W,0.293149
YIL013C,0.045241
YIL015W,0.436759
YIL020C,0.284203
YIL031W,0.018648
YIL041W,2.492818
YIL042C,0.053299
YIL046W,0.094529
YIL051C,5.309323
YIL053W,13.788983
YIL101C,0.034782
YIL103W,0.27215
YIL112W,0.050878
YIL113W,0.02296
YIL114C,0.210558
YIL124W,0.804154
YIL132C,0.017419
YIL136W,0.082625
YIL137C,0.09016
YIL142W,1.771144
YIL143C,0.160668
YIL144W,0.023344
YIL156W,0.033775
YIL158W,0.930512
YIL159W,0.009541
YIL176C,0.205515
YIR004W,0.312106
YIR007W,0.066407
YIR008C,0.226402
