Gene,Xobs
YGL019W,0.597091
YGR007W,0.570920
YOR034C,0.071205
YBR034C,0.623913
YHL014C,0.004486
YHL032C,0.020886
YCL009C,0.945814
YFL029C,0.087645
YDR286C,0.125724
YDR411C,0.349226
YDR167W,0.675942
YGL198W,0.702494
YLR410W,0.130865
YPL144W,0.392742
YJR150C,0.103750
YKL134C,0.011384
YPL059W,0.387468
YDR439W,0.015160
YMR150C,0.659960
YPR056W,0.089030
YPL128C,0.312831
YER095W,0.535814
YMR163C,0.019551
YCL067C,0.299834
YER100W,0.521989
YOR038C,0.019050
YML083C,0.018611
YBL111C,0.013284
YHL012W,0.003571
YGR233C,0.189697
YPR193C,0.019201
YIL088C,0.430846
YJR032W,0.212129
YMR126C,0.017234
YFR011C,0.278212
YKL184W,0.265150
YDL089W,0.030976
YDL211C,0.017487
YMR024W,0.198592
YOR109W,0.155110
YAL051W,0.067200
YDR377W,0.374309
YER082C,0.259068
YCL016C,0.105186
YLR335W,0.345970
YBR016W,1.625122
YLR439W,0.277428
YLR460C,0.049716
YLR170C,0.290032
YDR237W,0.279318
YIR042C,0.004888
YDR477W,0.241203
YHR011W,0.036405
YIL138C,0.174645
YLR003C,0.205183
YGR260W,0.473849
YMR224C,0.011311
YDL139C,0.048981
YPL081W,1.070698
YJL110C,0.021629
YER019W,0.404109
YDR478W,0.135892
YJL140W,0.395700
YGL175C,0.003162
YPL016W,0.013776
YOL061W,1.135400
YER065C,0.002664
YOR019W,0.008725
YPL147W,0.012361
YFR003C,0.311019
YLR237W,0.124508
YNL077W,0.015383
YEL018W,0.206006
YDR368W,0.867286
YJR143C,1.446720
YDR125C,0.007199
YGR156W,0.044034
YDL039C,0.126393
YGL035C,0.099214
YFL037W,1.556939
YDR021W,0.109623
YIL125W,0.164845
YPL137C,0.022119
YML097C,0.157333
YOR047C,0.081396
YDR268W,0.079384
YMR247C,0.027490
YDR536W,0.014072
YBL009W,0.035272
YOR161C,0.205370
YDR430C,0.047297
YCL066W,0.066947
YAL014C,0.113196
YPR083W,0.010357
YNL113W,1.286646
YAR020C,4.102230
YOR209C,0.853147
YDR498C,0.122131
